RuleIdentifier,CourseType,InstitutionName,UniqueIdentifier,City,State,Country,CourseOrder,Subject,Number,Level,Title,MinRuleCreditHours,MinCreditHours,MaxCreditHours,EffectiveBeginYearMonth,EffectiveEndYearMonth,Operator,ElectiveIndicator,GenedCategoryName,Exclude
AUTOgUk9LqWte,source,ALLAN HANCOCK COLLEGE,12345,Santa Maria,CA,USA,1,CHM,101,,College Chemistry,6,4,,,2021-07,,,,
AUTOgUk9LqWte,target,U OF NEVADA-RENO,109208,RENO,NV,USA,1,PHY,102,Lower,null,,,3,,,,,PSCI,
AUTO76c4Usplh,source,ALLAN HANCOCK COLLEGE,108807,Santa Maria,CA,USA,2,CHEM,103,,College Chemistry Lab,6,2,,1997-08,,,,,
AUTO76c4Usplh,target,U OF NEVADA-RENO,109208,RENO,NV,USA,2,CHM,224,Lower,null,,,1,,,,,PSCI,
AUTOLWVgmzzMu,source,ALLAN HANCOCK COLLEGE,108807,Santa Maria,CA,USA,3,ENG,108,,Test Course,,,,,,,,,
AUTOLWVgmzzMu,target,U OF NEVADA-RENO,109208,RENO,NV,USA,3,ENG,224,,Test Course,,,,,,,,,
AUTO54Mqf3dS2,source,ABC Adult School,491464,Cerritos,CA,USA,4,MAT,118,,,,,,,,,,,
AUTO54Mqf3dS2,target,U OF NEVADA-RENO,109208,RENO,NV,USA,4,CHM,300,,,,,,,,,,,
AUTONWqxV2CiM,source,Pima Community College,105525,Tucson,AZ,USA,5,BIO,200,,,,,,,,,,,
AUTONWqxV2CiM,target,U OF NEVADA-RENO,109208,RENO,NV,USA,5,ZEO,100,,,,,,,,,,,
AUTOAjzflVdOL,source,Pima Community College,105525,Tucson,AZ,USA,6,MATH,250,,,,,,,,,,,
AUTOAjzflVdOL,target,U OF NEVADA-RENO,109208,RENO,NV,USA,6,MAT,220,,,,,,,,,,,
AUTOGGVurJvcN,source,Pima Community College,105525,Tucson,AZ,USA,7,ACC,100,,,,,,,,,,,
AUTOGGVurJvcN,target,U OF NEVADA-RENO,109208,RENO,NV,USA,7,ACC,300,,,,,,,,,,,
AUTOz6zbI5Brn,source,ABC Adult School,491464,Cerritos,CA,USA,8,ART,550,,,,,,,,,,,
AUTOz6zbI5Brn,target,U OF NEVADA-RENO,109208,RENO,NV,USA,8,ART,200,,,,,,,,,,,
AUTO0TZKaZ3kj,source,ABC Adult School,491464,Cerritos,CA,USA,9,ART,909,,,,,,,,,,,
AUTO0TZKaZ3kj,target,U OF NEVADA-RENO,109208,RENO,NV,USA,9,ACC,220,,,,,,,,,,,
