RuleIdentifier,CourseType,InstitutionName,UniqueIdentifier,City,State,Country,CourseOrder,Subject,Number,Level,Title,MinRuleCreditHours,MinCreditHours,MaxCreditHours,EffectiveBeginYearMonth,EffectiveEndYearMonth,Operator,ElectiveIndicator,GenedCategoryName,Exclude
AUTO8d2xEGUAn,source,ALLAN HANCOCK COLLEGE,108807,Santa Maria,CA,USA,1,,101,,College Chemistry,6,4,,,2021-07,,,,
AUTO8d2xEGUAn,target,American River College,109208,RENO,NV,USA,1,PHY,102,Lower,null,,,3,,,,,PSCI,
AUTOa7U9TubnL,source,ALLAN HANCOCK COLLEGE,108807,Santa Maria,CA,USA,2,CHEM,103,,College Chemistry Lab,6,2,,1997-08,,,,,
AUTOa7U9TubnL,target,American River College,109208,RENO,NV,USA,2,CHM,224,Lower,null,,,1,,,,,PSCI,
AUTOyDpV5KaL1,source,ALLAN HANCOCK COLLEGE,108807,Santa Maria,CA,USA,3,ENG,108,,Test Course,,,,,,,,,
AUTOyDpV5KaL1,target,American River College,109208,RENO,NV,USA,3,ENG,224,,Test Course,,,,,,,,,
AUTOmnSQ0r0bV,source,ABC Adult School,491464,Cerritos,CA,USA,4,MAT,118,,,,,,,,,,,
AUTOmnSQ0r0bV,target,American River College,109208,RENO,NV,USA,4,CHM,300,,,,,,,,,,,
AUTORLlbpebZq,source,Pima Community College,105525,Tucson,AZ,USA,5,BIO,200,,,,,,,,,,,
AUTORLlbpebZq,target,American River College,109208,RENO,NV,USA,5,ZEO,100,,,,,,,,,,,
AUTOlYsp08YHx,source,Pima Community College,105525,Tucson,AZ,USA,6,MATH,250,,,,,,,,,,,
AUTOlYsp08YHx,target,American River College,109208,RENO,NV,USA,6,MAT,220,,,,,,,,,,,
AUTOCIwesJpM5,source,Pima Community College,105525,Tucson,AZ,USA,7,ACC,100,,,,,,,,,,,
AUTOCIwesJpM5,target,American River College,109208,RENO,NV,USA,7,ACC,300,,,,,,,,,,,
AUTOOfaWvuAxC,source,ABC Adult School,491464,Cerritos,CA,USA,8,ART,550,,,,,,,,,,,
AUTOOfaWvuAxC,target,American River College,109208,RENO,NV,USA,8,ART,200,,,,,,,,,,,
AUTOxUYuTw3S0,source,ABC Adult School,491464,Cerritos,CA,USA,9,ART,909,,,,,,,,,,,
AUTOxUYuTw3S0,target,American River College,109208,RENO,NV,USA,9,ACC,220,,,,,,,,,,,
