RuleIdentifier,CourseType,InstitutionName,UniqueIdentifier,City,State,Country,Subject,Number,Level,Title,MinRuleCreditHours,MinCreditHours,MaxCreditHours,EffectiveBeginYearMonth,EffectiveEndYearMonth,Operator,ElectiveIndicator,GenedCategoryName,Exclude
AUTOcgZ0R8RMC,source,ALLAN HANCOCK COLLEGE,108807,Santa Maria,CA,USA,CHM,101,,Test Course,,,,,,,,,
AUTOcgZ0R8RMC,target,American River College,109208,RENO,NV,USA,PHY,102,,Test Course,,,,,,,,,
AUTOsGXfdlucq,source,ABC Adult School,491464,Cerritos,CA,USA,CHEM,103,,,,,,,,,,,
AUTOsGXfdlucq,target,American River College,109208,RENO,NV,USA,CHM,224,,,,,,,,,,,
AUTOQZ2EWkK5I,source,Pima Community College,105525,Tucson,AZ,USA,ENG,108,,,,,,,,,,,
AUTOQZ2EWkK5I,target,American River College,109208,RENO,NV,USA,ENG,224,,,,,,,,,,,
AUTOOwqNfqbZv,source,Pima Community College,105525,Tucson,AZ,USA,MAT,118,,,,,,,,,,,
AUTOOwqNfqbZv,target,American River College,109208,RENO,NV,USA,CHM,300,,,,,,,,,,,
AUTOF7Cx5XTrk,source,Pima Community College,105525,Tucson,AZ,USA,BIO,200,,,,,,,,,,,
AUTOF7Cx5XTrk,target,American River College,109208,RENO,NV,USA,ZEO,100,,,,,,,,,,,
AUTOfqbQ2FpX2,source,ABC Adult School,491464,Cerritos,CA,USA,MATH,250,,,,,,,,,,,
AUTOfqbQ2FpX2,target,American River College,109208,RENO,NV,USA,MAT,220,,,,,,,,,,,
AUTOeTDGOqP14,source,ABC Adult School,491464,Cerritos,CA,USA,ACC,100,,,,,,,,,,,
AUTOeTDGOqP14,target,American River College,109208,RENO,NV,USA,ACC,300,,,,,,,,,,,
